"type" "address" "addresses" "all" "business" "capitalAve" "capitalLong" "capitalTotal" "charDollar" "charExclamation" "charHash" "charRoundbracket" "charSemicolon" "charSquarebracket" "conference" "credit" "cs" "data" "direct" "edu" "email" "font" "free" "george" "hp" "hpl" "internet" "lab" "labs" "mail" "make" "meeting" "money" "num000" "num1999" "num3d" "num415" "num650" "num85" "num857" "order" "original" "our" "over" "parts" "people" "pm" "project" "re" "receive" "remove" "report" "table" "technology" "telnet" "will" "you" "your"
"1" "spam" 0.64 0 0.64 0 3.756 61 278 0 0.778 0 0 0 0 0 0 0 0 0 0 1.29 0 0.32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.32 0 0 0 0 0 0 0 0 0 0 0 0 0.64 1.93 0.96
"2" "spam" 0.28 0.14 0.5 0.07 5.114 101 1028 0.18 0.372 0.048 0.132 0 0 0 0 0 0 0 0 0.28 0 0.14 0 0 0 0.07 0 0 0.94 0.21 0 0.43 0.43 0.07 0 0 0 0 0 0 0 0.14 0.28 0 0.65 0 0 0 0.21 0.21 0.21 0 0 0 0.79 3.47 1.59
"3" "spam" 0 1.75 0.71 0.06 9.821 485 2259 0.184 0.276 0.01 0.143 0.01 0 0 0.32 0 0 0.06 0.06 1.03 0 0.06 0 0 0 0.12 0 0 0.25 0.06 0 0.06 1.16 0 0 0 0 0 0 0.64 0.12 1.23 0.19 0 0.12 0 0 0.06 0.38 0.19 0 0 0 0 0.45 1.36 0.51
"4" "spam" 0 0 0 0 3.537 40 191 0 0.137 0 0.137 0 0 0 0 0 0 0 0 0 0 0.31 0 0 0 0.63 0 0 0.63 0 0 0 0 0 0 0 0 0 0 0.31 0 0.63 0 0 0.31 0 0 0 0.31 0.31 0 0 0 0 0.31 3.18 0.31
"5" "spam" 0 0 0 0 3.537 40 191 0 0.135 0 0.135 0 0 0 0 0 0 0 0 0 0 0.31 0 0 0 0.63 0 0 0.63 0 0 0 0 0 0 0 0 0 0 0.31 0 0.63 0 0 0.31 0 0 0 0.31 0.31 0 0 0 0 0.31 3.18 0.31
"6" "spam" 0 0 0 0 3 15 54 0 0 0 0.223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" "spam" 0 0 0 0 1.671 4 112 0.054 0.164 0 0.054 0 0 0 0 0 0 0 0 0.32 0 0.96 0 0 0 0 0 0 0.64 0 0 0 0 0 0 0 0 0 0 0 0 1.92 0 0 0 0 0 0 0.96 0 0 0 0 0 1.28 3.85 0.64
"8" "spam" 0 0 0 0 2.45 11 49 0 0 0 0.206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" "spam" 0 0 0.46 0 9.744 445 1257 0.203 0.181 0.022 0.271 0 0 0 3.53 0 0.15 0 0 0.15 0 0 0 0 0 0 0 0 0.76 0.15 0 0.15 0 0 0 0 0 0 0 0.92 0.3 0.61 0 0 0 0 0 0 0.76 0.3 0 0 0 0 0.92 1.23 2
"10" "spam" 0.12 0.12 0.77 0 1.729 43 749 0.081 0.244 0 0.03 0.04 0 0 0.06 0 0 0 0 0.12 0 0 0 0 0 0 0 0 0 0.06 0 0 0.19 0 0 0 0 0 0 0.06 0 0.19 0.32 0 0.25 0 0.06 0 0 0.38 0 0 0 0 0.64 1.67 0.71
"11" "spam" 0 0 0 0 1.312 6 21 0 0.462 0 0 0 0 0 0 0 0 0.96 0 0.96 0 0 0 0 0 0 0 0 1.92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.96 0.96 0 0 0 0 0 3.84 0.96
"12" "spam" 0 0 0.25 0 1.243 11 184 0 0.663 0 0.044 0.022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.38 0.25 0 0.12 0 0 0 0.12 0.25 0 0 0 0 0.12 1.16 0.77
"13" "spam" 0.69 0 0.34 0 3.728 61 261 0 0.786 0 0.056 0 0 0 0 0 0 0 0 1.39 0 0.34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34 0 0 0 0 0 0 0 0 0 0 0 0 0.69 2.09 1.04
"14" "spam" 0 0 0 0 2.083 7 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0.9 0 0 0 0.9 0.9 0 0 0 0 0 2.72 0.9
"15" "spam" 0 0 1.42 0 1.971 24 205 0 0.357 0 0.102 0 0 0 0 0 0 0 0 0 0 5.35 0 0 0 0.35 0 0 0.71 0 0 0 0.35 0 0 0 0 0 0 0 0 0.71 0.35 0 0 0 0 0 0 0 0 0 0 0 0.35 3.21 2.85
"16" "spam" 0.42 0 0.42 0 5.659 55 249 0.063 0.572 0 0.063 0 0 0 0.42 0 0 0.42 0 0 0 1.27 0 0 0 0 0 0 1.27 0 0 0.42 0 1.27 0 0 0 0 0 0 0 1.27 0 0 0 0 0 0 0 0.42 0 0 0 0 0 1.7 1.27
"17" "spam" 0 0 0 0 4.652 31 107 0 0.428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.94 0 0 0 0 0 0 0 0 0 0 0 0 0 1.88 2.83
"18" "spam" 0 0 0 0 35.461 95 461 0.37 1.975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.11
"19" "spam" 0 0.18 0.55 0.37 1.32 4 70 0 0.455 0 0.182 0 0 0 0 0 0 0 0 0.37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.11 0 0 0.92 0 0 0 0 0.18 0 0 0 0 0 3.15 0.92
"20" "spam" 0.63 1.27 0 0.31 3.509 91 186 0.496 0.055 0 0.275 0 0 0 0 0 0 1.59 0 3.18 0 0.63 0 0 0 0 0 0 0 0 0 0.63 0.31 0 0 0 0.31 0 0 0.31 0 1.59 0.31 0 0 0 0 0 0 0 0 0 0 0 0.63 2.22 1.91
"21" "spam" 0 0 0 0 3.833 9 23 0 0.729 0 0.729 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" "spam" 0.07 0 0.1 0.02 2.569 66 2259 0.046 0.25 0.059 0.101 0.042 0.016 0 0.1 0 0 0 0 0.13 0 0 0 0 0 0.02 0 0 0 0.05 0 0 0.05 0.1 0 0 0 0 0 0.55 0 0.76 0.05 0 0.02 0 0 0 0.1 0.15 0 0 0.02 0 0.47 2.09 1.57
"23" "spam" 0 0 0 0 4.857 12 34 0 0.809 0 0.404 0.404 0 0 0 0 0 0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" "spam" 0 0 0 0 1.131 5 69 0 0.667 0 0.133 0 0 0 0 0 0 0 0 1.16 0 1.16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.16 0 0 0 0 0 0 0 0 0 0 0 0 0.58 1.16 1.75
"25" "spam" 0 0 0 0 5.466 22 82 0.196 0.392 0 0.196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.44 0 0 0 0 0 0 0 0 0
